scientificName,decimalLongitude,decimalLatitude
Phoca vitulina,-122.671935,47.939615
Phoca vitulina,-122.4613,37.81219
Phoca vitulina,12.13104,57.21097
Phoca vitulina,-69.073333,43.979033
Phoca vitulina,11.04884,58.58913
Phoca vitulina,11.91072,57.38802
Phoca vitulina,-67.8496,44.447233
Phoca vitulina,-68.801,44.515
Phoca vitulina,11.82796,57.45891
Phoca vitulina,11.36032,58.2364
Phoca vitulina,-122.712815,47.30955
Phoca vitulina,11.65305,57.81126
Phoca vitulina,-71.440278,41.476389
Phoca vitulina,2.813988,51.189582
Phoca vitulina,-122.716867,47.110198
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-75.3402,37.8898
Phoca vitulina,-69.390483,43.926567
Phoca vitulina,-67.699043,44.508048
Phoca vitulina,2.0369,50.9986
Phoca vitulina,-122.569872,47.845496
Phoca vitulina,11.75168,57.52354
Phoca vitulina,11.04535,58.5658
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-68.487435,44.402815
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,12.1943,57.14467
Phoca vitulina,16.51103,56.28665
Phoca vitulina,-122.698803,48.141848
Phoca vitulina,-67.863567,44.365283
Phoca vitulina,-69.2892,43.88625
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-69.340383,43.854533
Phoca vitulina,-122.438808,47.278484
Phoca vitulina,2.744354,51.143546
Phoca vitulina,-122.406685,48.144943
Phoca vitulina,-68.7989,44.206233
Phoca vitulina,11.36236,58.25428
Phoca vitulina,16.16313,56.47837
Phoca vitulina,-68.928,44.351
Phoca vitulina,-69.40205,44.023183
Phoca vitulina,-69.980518,43.817078
Phoca vitulina,1.5476,50.2583
Phoca vitulina,-122.739993,47.146952
Phoca vitulina,11.0712,58.55252
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,11.34755,58.22338
Phoca vitulina,-68.136,44.104
Phoca vitulina,-68.787,44.219
Phoca vitulina,-69.594075,43.799325
Phoca vitulina,11.06983,58.56866
Phoca vitulina,-66.084701,45.260005
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,-68.828583,44.290383
Phoca vitulina,2.3367,51.0567
Phoca vitulina,-66.073899,45.272361
Phoca vitulina,-65.2898,43.662
Phoca vitulina,11.34109,58.08613
Phoca vitulina,-66.077674,45.269119
Phoca vitulina,-66.071022,45.271331
Phoca vitulina,10.97932,58.77667
Phoca vitulina,-68.840883,44.260633
Phoca vitulina,-66.073899,45.272361
